"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"ENSG00000086598",2367.97037139469,0.46472703564353,0.131340177716446,3.53834632877415,0.000402641571545123,0.00633578669270608,"ENSG00000086598"
"ENSG00000075856",542.070579572016,-0.55104288165317,0.102100106749367,-5.39708428518939,6.77325745208089e-08,5.32062128864251e-06,"ENSG00000075856"
"ENSG00000287202",113.176756609846,-0.582629918810351,0.149237732105582,-3.90403894906521,9.46005462704289e-05,0.00209831613457422,"ENSG00000287202"
"ENSG00000183160",19.8815181792815,2.13404253617385,0.447146696687044,4.77257810911988,1.81882533566379e-06,8.48528984060612e-05,"ENSG00000183160"
"ENSG00000134531",122.990345962693,3.23262585899215,0.334521809035168,9.66342334544864,4.31208360020572e-22,2.85661164901629e-18,"ENSG00000134531"
"ENSG00000280138",139.183486226069,1.24950374331013,0.280510875662318,4.45438609237488,8.41335814165275e-06,0.000293861300012666,"ENSG00000280138"
"ENSG00000135404",2893.86264359218,1.38304498431953,0.231297810884719,5.97949880731406,2.23825200787586e-09,2.69594063057726e-07,"ENSG00000135404"
"ENSG00000182544",556.312727625571,0.35380620837497,0.102088149754642,3.46569321929434,0.000528866360222897,0.0078731760622246,"ENSG00000182544"
"ENSG00000135476",33.4608488192016,2.61577935251754,0.379518476340791,6.89236365443428,5.48728777903252e-12,1.41629035481159e-09,"ENSG00000135476"
"ENSG00000111640",18807.5138037259,1.04775925037807,0.182757574218278,5.73305514072246,9.86375484318690e-09,9.85086752530132e-07,"ENSG00000111640"
"ENSG00000269968",6863.50844147979,1.10345732708671,0.175106516615865,6.30163484724783,2.94522382051743e-10,4.53747117898941e-08,"ENSG00000269968"
"ENSG00000122966",28.3642702655424,1.54332681167355,0.38475736568582,4.01116898417945,6.04188442114177e-05,0.00147877353430753,"ENSG00000122966"
"ENSG00000185480",39.765307596695,1.65348581431506,0.378399077807424,4.36968774843727,1.24424324302431e-05,0.000403394620095679,"ENSG00000185480"
"ENSG00000111665",36.5558449918989,2.39631294305022,0.39844685284443,6.01413444715007,1.80850370709129e-09,2.21865448609459e-07,"ENSG00000111665"
"ENSG00000110925",175.140323047329,-0.718191299025012,0.19407720386505,-3.70054434380868,0.000215137479351299,0.00397734164151415,"ENSG00000110925"
"ENSG00000166598",5102.47891977095,1.22820593547496,0.252331526508619,4.86742957754431,1.13059099113019e-06,5.67408216104075e-05,"ENSG00000166598"
"ENSG00000204954",876.872668097834,1.12777067536038,0.263497864417004,4.2799993003951,1.86893900898061e-05,0.000567073188770696,"ENSG00000204954"
"ENSG00000111229",2345.51725628401,0.552519480786456,0.154802689260745,3.56918528628277,0.000358093105209127,0.0057672142406209,"ENSG00000111229"
"ENSG00000258232",145.890274982881,0.747247048428276,0.171037782961232,4.36890045866444,1.24873664547462e-05,0.00040360800980405,"ENSG00000258232"
"ENSG00000258334",3.10809605331304,5.29927777061663,1.21339244931801,4.36732383953361,1.25778168849588e-05,0.000405140247604004,"ENSG00000258334"
"ENSG00000135451",36.8178213234307,3.53501202580394,0.490095033441511,7.2129113428892,5.47680757270127e-13,1.84484870677737e-10,"ENSG00000135451"
"ENSG00000092841",6477.18199180722,0.436933382963306,0.112010752503694,3.90081642339556,9.5868829986131e-05,0.00211935164309718,"ENSG00000092841"
"ENSG00000135469",123.039188500273,-0.812177676259543,0.23001307387843,-3.53100657525583,0.000413981456774912,0.0064681348049879,"ENSG00000135469"
"ENSG00000110944",44.2415880014922,-1.68266860754209,0.421598722224372,-3.99116154495029,6.57504724587026e-05,0.0015683735852818,"ENSG00000110944"
"ENSG00000184752",549.081678178349,0.602038595907257,0.155628423636321,3.86843599543312,0.000109535679472961,0.00234784256825941,"ENSG00000184752"
"ENSG00000256658",6.44621311815833,-2.36634510684533,0.681338638103448,-3.47308221566916,0.000514517717078391,0.007707968087433,"ENSG00000256658"
"ENSG00000111266",68.4290609157502,-0.965409564195343,0.254879880613274,-3.78770408190887,0.000152045784107194,0.00302478269604241,"ENSG00000111266"
"ENSG00000278969",7.6458688104513,2.23254604098901,0.648278140571938,3.4438089166779,0.000573580923995731,0.00833285620138243,"ENSG00000278969"
