"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Tetrahydrofolate Interconversion (GO:0035999)","5/8",7.34111830380862e-05,0.00535653608292242,0,0,22.5308641975309,214.481080920734,"MTHFD1L;MTHFD2;SHMT2;MTHFD2L;TYMS"
"Regulation Of DNA Binding (GO:0051101)","12/48",7.63623004308633e-05,0.00535653608292242,0,0,4.52116788321168,42.8607684370094,"CDT1;SUMO1;SUMO3;LEF1;HJURP;HMGB2;E2F1;PPARG;TXN;IGF1;MMP8;NME1"
"DNA Replication Checkpoint Signaling (GO:0000076)","7/17",7.77609928285778e-05,0.00535653608292242,0,0,9.47316363636364,89.6338487844377,"CDT1;CDC45;ORC1;TIMELESS;CDC6;CLSPN;TICRR"
"Regulation Of Ubiquitin Protein Ligase Activity (GO:1904666)","7/17",7.77609928285778e-05,0.00535653608292242,0,0,9.47316363636364,89.6338487844377,"CDC20;MAD2L2;UBE2C;UBE2S;PLK1;BTRC;MAD2L1"
"Negative Regulation Of Apoptotic Process (GO:0043066)","56/482",9.28795524041565e-05,0.00627725578701299,0,0,1.80349669662014,16.7440367267696,"TFRC;KIF14;PARK7;CLU;NRBP2;MYDGF;DSTYK;CFL1;CD38;CASP2;PIM3;SOX8;ANXA4;WDR73;SIRT1;DNAJC3;BIRC5;VDAC1;BIRC7;GAS6;TP53;RPL10;BCL2A1;LEF1;NUGGC;MTDH;HSP90B1;SOCS3;PRDX5;NUAK2;BAG1;ZNF304;RIPK1;MCL1;TXNDC5;CDKN2D;STIL;EGR3;SEMA4D;HSPA5;CAV1;PLK1;DHCR24;IGF1;TNFRSF10D;CD40LG;DNAJA3;BCL3;CDK1;CTNNB1;SPRY2;GHRL;LGMN;HSPA1A;LAMTOR5;MAD2L1"
"Protein Exit From Endoplasmic Reticulum (GO:0032527)","8/24",0.000137684851387811,0.0091330951420581,0,0,6.76928675400291,60.1826361165002,"LMAN1;SEC13;TMED9;SELENOS;SURF4;UFD1;SEC61B;HSP90B1"
"Regulation Of Nuclear Division (GO:0051783)","7/19",0.000178200460069301,0.0116057099630588,0,0,7.89345454545455,68.1410472427916,"CDCA2;RCC1;NEK2;CDC25C;FBXO43;MKI67;PKMYT1"
"G2/M Transition Of Mitotic Cell Cycle (GO:0000086)","10/38",0.000190033710658487,0.0121553705639054,0,0,4.83912952936277,41.4631574713305,"CCNA2;CCNB1;MELK;PLK1;CDK1;FOXM1;PKMYT1;CDC25C;CDC25A;AURKA"
"Mitotic G2/M Transition Checkpoint (GO:0044818)","11/46",0.000231448968151323,0.0145447404196147,0,0,4.25993539647807,35.6605630875706,"CDKN1A;DEPDC1B;ORC1;CHEK1;PLK1;RBBP8;CDK1;BRCA1;CLSPN;CDC6;TICRR"
"DNA Repair (GO:0006281)","37/291",0.000243907286479132,0.0150633775891078,0,0,1.98890027222434,16.5451092028102,"FEN1;PCNA;POLDIP2;CDCA5;NUDT1;XPC;BRCA1;PARK7;BRCA2;RECQL4;RAD51AP1;EME1;SUMO1;EXO1;CHEK1;RBBP8;CDKN2D;POLQ;GADD45A;FANCA;SIRT1;REC8;HINFP;TICRR;MAD2L2;DEPDC1B;NEIL3;RAD51;UBE2T;POLE2;TIMELESS;CDK1;TRIP13;HROB;TP53;ASF1A;TP73"
